Record_number,Biome2,Ecosystem_type2,altitude,SOC_stock,Study_midyear,YearsOfData,Lat,Lon,Site,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_state,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Rh_annual,Ra_annual,Site.match,Mean.Temp.,delta.Mean.Temp.,Mean.Precip.,delta.Mean.Precip.,Latitude2,Outlier_rh,Outlier_ra
1846,Boreal,Forest,329.8,121,2004,1.5,65.75,23.75,65.75 23.75,65.92,23.85,65.92 23.85,4435,329.8,Boreal,Managed,Deciduous Forest,Deciduous,2.3,525,IRGA,Exclusion,Aggrading,682,409,273,66.25 23.75,3.855555556,2.705555556,49.43888889,-26.76666667,65.92,0,0
1154,Boreal,Forest,342.5,122,1999,1,53.75,-104.75,53.75 -104.75,53.88,-104.65,53.88 -104.65,2630,342.5,Boreal,Unmanaged,Evergreen Forest,Evergreen,1.5,405,IRGA,Subtraction,Aggrading,570,300,270,53.75 -104.75,1.941666667,1.015277778,35.16666667,-25.54333333,53.88,0,0
2202,Boreal,Forest,3215,122,2003,1,62.75,30.75,62.75 30.75,62.87,30.82,62.87 30.82,4166,145,Boreal,Natural,Evergreen Forest,Evergreen,0.3,724,IRGA,Equation,Mature,598,372,226,62.75 30.75,0.3,-2.4475,42.20833333,-158.9133333,62.87,0,0
1851,Boreal,Forest,736,121,2004,1.5,65.75,23.75,65.75 23.75,65.92,23.85,65.92 23.85,4435,736,Boreal,Managed,Deciduous Forest,Deciduous,3.855555556,593.2666667,IRGA,Exclusion,Aggrading,668,450,218,66.25 23.75,3.855555556,2.705555556,49.43888889,-26.76666667,65.92,0,0
1848,Boreal,Forest,217,122,2004,1.5,65.75,23.75,65.75 23.75,65.92,23.85,65.92 23.85,4435,217,Boreal,Managed,Evergreen Forest,Evergreen,3.855555556,593.2666667,IRGA,Exclusion,Aggrading,559,341,218,66.25 23.75,3.855555556,2.705555556,49.43888889,-26.76666667,65.92,0,0
4875,Temperate,Forest,925,121,2008,1,51.25,-0.75,51.25 -0.75,51.16666667,-0.85,51.16666667 -0.85,6334,80,Temperate,Natural,Deciduous Forest,Deciduous,9.4,780,IRGA,Exclusion,Mature,697,290,407,51.25 -0.75,10.45,-0.156666667,42.23333333,-124.5066667,51.16666667,0,0
1005,Temperate,Forest,750,122,2004,1,49.75,-125.25,49.75 -125.25,49.87,-125.33,49.87 -125.33,3885,750,Temperate,Natural,Evergreen Forest,Evergreen,8.6,1450,IRGA,Exclusion,Mature,1016,610,406,49.75 -125.25,5.358333333,0.246111111,106.7833333,-206.2166667,49.87,0,0
4235,Temperate,Forest,770,121,2007,1.5,47.25,8.25,47.25 8.25,47.47833333,8.364388889,47.47833333 8.364388889,5317,680,Temperate,Managed,Deciduous Forest,Deciduous,8.4,930,IRGA,Exclusion,Mature,901,497,405,47.25 8.25,11.45555556,2.747777778,109.3833333,223.1233333,47.47833333,0,0
5269,Temperate,Grassland,357,88,2011,1,34.75,-97.75,34.75 -97.75,34.98166667,-97.52055556,34.98166667 -97.52055556,7141,357,Temperate,Natural,Grassland,Deciduous,16.3,895,IRGA,Exclusion,Mature,972,404,404,34.75 -97.75,16.80833333,0.748055556,54.025,-309.8333333,34.98166667,0,0
4332,Temperate,Forest,1096.6,121,2003,1,42.75,141.75,42.75 141.75,42.73333333,141.5166667,42.73333333 141.5166667,5824,125,Temperate,Managed,Deciduous Forest,Deciduous,7.1,1500,IRGA,Exclusion,Mature,934,532,402,42.75 141.75,6.016666667,-1.047222222,84.78333333,-87.19666667,42.73333333,0,0
