Record_number,Biome2,altitude,SOC_content,Outlier,SOC_stock,Ecosystem_type2,Study_midyear,YearsOfData,Lat,Lon,Site,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_state,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Site.match,Mean.Temp.,delta.Mean.Temp.,Mean.Precip.,delta.Mean.Precip.,Latitude2
1,Boreal,272.7,117,0,223,Forest,2001.5,1.5,56.75,-99.75,56.75 -99.75,56.63,-99.94,56.63 -99.94,2534,272.7,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Aggrading,255,56.75 -99.75,-6.116666667,-3.666111111,341.7333334,-91.46,56.63
2,Boreal,275.2,105,0,264,Forest,2001.5,1.5,56.25,-99.75,56.25 -99.75,56.46,-99.97,56.46 -99.97,2534,275.2,Boreal,Natural,Deciduous Forest,Deciduous,0.8,450,IRGA,Exclusion,Aggrading,85,56.25 -99.75,-6.127777778,-3.6125,331.5333334,-91.83666667,56.46
3,Boreal,282.6,156,0,375,Forest,2001.5,1.5,55.75,-98.75,55.75 -98.75,55.91,-98.98,55.91 -98.98,2534,282.6,Boreal,Natural,Deciduous Forest,Deciduous,0.8,450,IRGA,Exclusion,Aggrading,425,55.75 -98.75,-5.361111111,-3.0025,350.0666666,-122.24,55.91
4,Boreal,263.4,156,0,237,Forest,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.86,-98.48,55.86 -98.48,2534,263.4,Boreal,Natural,Mixed Forest,Mixed,0.8,450,IRGA,Exclusion,Aggrading,551,55.75 -98.25,-5.744444444,-3.278611111,403.9333333,-97.02666667,55.86
5,Boreal,258.6,148,0,406,Forest,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.92,-98.39,55.92 -98.39,2534,258.6,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Aggrading,484,55.75 -98.25,-5.744444444,-3.278611111,403.9333333,-97.02666667,55.92
6,Boreal,268.7,177,0,325,Forest,2001.5,1.5,55.75,-98.75,55.75 -98.75,55.91,-98.52,55.91 -98.52,2534,268.7,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Mature,540,55.75 -98.75,-5.361111111,-3.0025,350.0666666,-122.24,55.91
7,Boreal,256.9,222,0,542,Forest,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.88,-98.48,55.88 -98.48,2534,256.9,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Mature,375,55.75 -98.25,-5.744444444,-3.278611111,403.9333333,-97.02666667,55.88
8,Boreal,272.7,117,0,223,Forest,2001.5,1.5,56.75,-99.75,56.75 -99.75,56.63,-99.94,56.63 -99.94,2534,272.7,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Aggrading,137,56.75 -99.75,-6.116666667,-3.666111111,341.7333334,-91.46,56.63
9,Boreal,280.7,123,0,162,Forest,2001.5,1.5,56.25,-99.75,56.25 -99.75,56.46,-99.98,56.46 -99.98,2534,280.7,Boreal,Natural,Deciduous Forest,Deciduous,0.8,450,IRGA,Exclusion,Aggrading,513,56.25 -99.75,-6.127777778,-3.6125,331.5333334,-91.83666667,56.46
10,Boreal,256,148,0,368,Forest,2001.5,1.5,55.75,-98.75,55.75 -98.75,55.9,-98.98,55.9 -98.98,2534,256,Boreal,Natural,Deciduous Forest,Deciduous,0.8,450,IRGA,Exclusion,Aggrading,337,55.75 -98.75,-5.361111111,-3.0025,350.0666666,-122.24,55.9
11,Boreal,263.4,156,0,237,Forest,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.86,-98.48,55.86 -98.48,2534,263.4,Boreal,Natural,Mixed Forest,Mixed,0.8,450,IRGA,Exclusion,Aggrading,570,55.75 -98.25,-5.744444444,-3.278611111,403.9333333,-97.02666667,55.86
12,Boreal,258.6,148,0,406,Forest,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.92,-98.39,55.92 -98.39,2534,258.6,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Aggrading,397,55.75 -98.25,-5.744444444,-3.278611111,403.9333333,-97.02666667,55.92
13,Boreal,251.8,95,0,328,Forest,2001.5,1.5,55.75,-98.75,55.75 -98.75,55.91,-98.51,55.91 -98.51,2534,251.8,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Mature,338,55.75 -98.75,-5.361111111,-3.0025,350.0666666,-122.24,55.91
14,Boreal,256.9,222,0,542,Forest,2001.5,1.5,55.75,-98.25,55.75 -98.25,55.88,-98.48,55.88 -98.48,2534,256.9,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,Exclusion,Mature,375,55.75 -98.25,-5.744444444,-3.278611111,403.9333333,-97.02666667,55.88
15,Boreal,272.7,117,0,223,Forest,1999.5,1.5,56.75,-99.75,56.75 -99.75,56.63,-99.94,56.63 -99.94,2182,272.7,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,,Aggrading,226,56.75 -99.75,-4.655555556,-2.205,416.6666666,-16.52666666,56.63
16,Boreal,275.2,105,0,264,Forest,1999.5,1.5,56.25,-99.75,56.25 -99.75,56.46,-99.97,56.46 -99.97,2182,275.2,Boreal,Natural,Deciduous Forest,Deciduous,0.8,450,IRGA,,Aggrading,412,56.25 -99.75,-4.988888889,-2.473611111,381.4666667,-41.90333333,56.46
17,Boreal,282.6,156,0,375,Forest,1999.5,1.5,55.75,-98.75,55.75 -98.75,55.91,-98.98,55.91 -98.98,2182,282.6,Boreal,Natural,Deciduous Forest,Deciduous,0.8,450,IRGA,,Aggrading,357,55.75 -98.75,-4.6,-2.241388889,394.2,-78.10666667,55.91
18,Boreal,263.4,156,0,237,Forest,1999.5,1.5,55.75,-98.25,55.75 -98.25,55.86,-98.48,55.86 -98.48,2182,263.4,Boreal,Natural,Mixed Forest,Mixed,0.8,450,IRGA,,Aggrading,413,55.75 -98.25,-4.722222222,-2.256388889,398.6666666,-102.2933333,55.86
19,Boreal,258.6,148,0,406,Forest,1999.5,1.5,55.75,-98.25,55.75 -98.25,55.92,-98.39,55.92 -98.39,2182,258.6,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,,Aggrading,350,55.75 -98.25,-4.722222222,-2.256388889,398.6666666,-102.2933333,55.92
20,Boreal,268.7,177,0,325,Forest,1999.5,1.5,55.75,-98.75,55.75 -98.75,55.91,-98.52,55.91 -98.52,2182,268.7,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,,Mature,274,55.75 -98.75,-4.6,-2.241388889,394.2,-78.10666667,55.91
21,Boreal,256.9,222,0,542,Forest,1999.5,1.5,55.75,-98.25,55.75 -98.25,55.88,-98.48,55.88 -98.48,2182,256.9,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,,Mature,244,55.75 -98.25,-4.722222222,-2.256388889,398.6666666,-102.2933333,55.88
22,Boreal,272.7,117,0,223,Forest,1999.5,1.5,56.75,-99.75,56.75 -99.75,56.63,-99.94,56.63 -99.94,2182,272.7,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,,Aggrading,146,56.75 -99.75,-4.655555556,-2.205,416.6666666,-16.52666666,56.63
23,Boreal,280.7,123,0,162,Forest,1999.5,1.5,56.25,-99.75,56.25 -99.75,56.46,-99.98,56.46 -99.98,2182,280.7,Boreal,Natural,Deciduous Forest,Deciduous,0.8,450,IRGA,,Aggrading,380,56.25 -99.75,-4.988888889,-2.473611111,381.4666667,-41.90333333,56.46
24,Boreal,256,148,0,368,Forest,1999.5,1.5,55.75,-98.75,55.75 -98.75,55.9,-98.98,55.9 -98.98,2182,256,Boreal,Natural,Deciduous Forest,Deciduous,0.8,450,IRGA,,Aggrading,300,55.75 -98.75,-4.6,-2.241388889,394.2,-78.10666667,55.9
25,Boreal,263.4,156,0,237,Forest,1999.5,1.5,55.75,-98.25,55.75 -98.25,55.86,-98.48,55.86 -98.48,2182,263.4,Boreal,Natural,Mixed Forest,Mixed,0.8,450,IRGA,,Aggrading,303,55.75 -98.25,-4.722222222,-2.256388889,398.6666666,-102.2933333,55.86
26,Boreal,258.6,148,0,406,Forest,1999.5,1.5,55.75,-98.25,55.75 -98.25,55.92,-98.39,55.92 -98.39,2182,258.6,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,,Aggrading,256,55.75 -98.25,-4.722222222,-2.256388889,398.6666666,-102.2933333,55.92
27,Boreal,251.8,95,0,328,Forest,1999.5,1.5,55.75,-98.75,55.75 -98.75,55.91,-98.51,55.91 -98.51,2182,251.8,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,,Mature,233,55.75 -98.75,-4.6,-2.241388889,394.2,-78.10666667,55.91
28,Boreal,256.9,222,0,542,Forest,1999.5,1.5,55.75,-98.25,55.75 -98.25,55.88,-98.48,55.88 -98.48,2182,256.9,Boreal,Natural,Evergreen Forest,Evergreen,0.8,450,IRGA,,Mature,264,55.75 -98.25,-4.722222222,-2.256388889,398.6666666,-102.2933333,55.88
44,Temperate,759,10,0,190,Forest,1999,4,50.25,11.75,50.25 11.75,50.13,11.87,50.13 11.87,2459,760,Temperate,Natural,Evergreen Forest,Evergreen,6,1019,IRGA,,Mature,560,50.25 11.75,7.622916667,0.292083333,877.05,44.70333334,50.13
46,Temperate,759,52,0,190,Forest,1997.5,1,50.25,11.75,50.25 11.75,50.13,11.87,50.13 11.87,1565,770,Temperate,Managed,Evergreen Forest,Evergreen,5.8,890,IRGA,Exclusion,Aggrading,710,50.25 11.75,7.166666667,-0.164166667,780.1,-52.24666667,50.13
65,Temperate,200,23,0,109,Forest,1995,3,-42.75,172.75,-42.75 172.75,42.87,172.75,-42.87 172.75,1263,198,Temperate,Managed,Evergreen Forest,Evergreen,10.8,658,IRGA,Subtraction,Aggrading,950,-42.75 172.75,10.96388889,-0.472777778,668.8333333,132.3233333,-42.87
66,Temperate,200,23,0,109,Forest,1996,1,-42.75,172.75,-42.75 172.75,42.87,172.75,-42.87 172.75,1262,198,Temperate,Managed,Evergreen Forest,Evergreen,10.8,547,IRGA,,Aggrading,370,-42.75 172.75,11.18333333,-0.253333333,774.6,238.09,-42.87
67,Temperate,200,14,0,109,Forest,1997,1,-42.75,172.75,-42.75 172.75,42.87,172.75,-42.87 172.75,1262,198,Temperate,Managed,Evergreen Forest,Evergreen,10.8,640,IRGA,,Aggrading,440,-42.75 172.75,11.025,-0.411666667,645.3,108.79,-42.87
69,Boreal,131.4,31,0,309,Forest,2001,1.5,64.75,-147.75,64.75 -147.75,64.8,-147.87,64.8 -147.87,3179,580,Boreal,Natural,Evergreen Forest,Evergreen,-3.3,269,IRGA,Exclusion,Mature,296,64.75 -147.75,2.777777778,4.651944444,312,11.80666667,64.8
70,Boreal,131.4,31,0,309,Forest,2001,1.5,64.75,-147.75,64.75 -147.75,64.8,-147.87,64.8 -147.87,3179,184,Boreal,Natural,Evergreen Forest,Evergreen,-3.3,269,IRGA,Exclusion,Mature,206,64.75 -147.75,2.777777778,4.651944444,312,11.80666667,64.8
71,Boreal,131.4,31,0,309,Forest,2001,1.5,64.75,-147.75,64.75 -147.75,64.8,-147.87,64.8 -147.87,3179,124,Boreal,Natural,Evergreen Forest,Evergreen,-3.3,269,IRGA,Exclusion,Mature,192,64.75 -147.75,2.777777778,4.651944444,312,11.80666667,64.8
72,Temperate,308,28,0,78,Forest,1997,1,48.75,7.25,48.75 7.25,48.67,7.08,48.67 7.08,1438,305,Temperate,Unmanaged,Deciduous Forest,Deciduous,9.2,820,IRGA,Exclusion,Aggrading,660,48.75 7.25,8.575,-1.0025,878.1,26.55666667,48.67
73,Temperate,308,28,0,78,Forest,1997,1,48.75,7.25,48.75 7.25,48.67,7.08,48.67 7.08,1777,305,Temperate,Unmanaged,Deciduous Forest,Deciduous,9.2,820,IRGA,Exclusion,Aggrading,660,48.75 7.25,8.575,-1.0025,878.1,26.55666667,48.67
78,Tropical,137,148,0,51,Forest,1995,1,-2.75,-47.75,-50.5,2.98,-47.52,-50.5,1009,137,Tropical,Natural,Evergreen Forest,Evergreen,25.61666667,1750,IRGA,Isotope,Mature,2400,-50.5,25.61666667,-0.32,2065.1,-207.6433333,-2.98
79,Temperate,211.3,148,0,117,Forest,1997,1,35.25,-85.75,35.25 -85.75,35.08,-85.5,35.08 -85.5,2877,768,Temperate,Natural,Deciduous Forest,Deciduous,12.9,1796,IRGA,,Mature,1250,35.25 -85.75,12.63333333,-0.876388889,1814.3,224.8966667,35.08
80,Temperate,211.3,109,0,117,Forest,1997,1,35.25,-85.75,35.25 -85.75,35.08,-85.5,35.08 -85.5,2877,768,Temperate,Natural,Deciduous Forest,Deciduous,12.9,1796,IRGA,,Mature,1240,35.25 -85.75,12.63333333,-0.876388889,1814.3,224.8966667,35.08
81,Temperate,211.3,109,0,117,Forest,1997,1,35.25,-85.75,35.25 -85.75,35.08,-85.5,35.08 -85.5,2877,768,Temperate,Natural,Deciduous Forest,Deciduous,12.9,1796,IRGA,,Mature,1220,35.25 -85.75,12.63333333,-0.876388889,1814.3,224.8966667,35.08
82,Temperate,211.3,30,0,117,Forest,1997,1,35.25,-85.75,35.25 -85.75,35.08,-85.5,35.08 -85.5,2877,768,Temperate,Natural,Deciduous Forest,Deciduous,12.9,1796,IRGA,,Mature,1320,35.25 -85.75,12.63333333,-0.876388889,1814.3,224.8966667,35.08
83,Temperate,211.3,29,0,75.5,Grassland,1997,1,35.25,-85.75,35.25 -85.75,35.08,-85.5,35.08 -85.5,2877,768,Temperate,Managed,Grassland,Deciduous,12.9,1796,IRGA,,Mature,1000,35.25 -85.75,12.63333333,-0.876388889,1814.3,224.8966667,35.08
84,Temperate,211.3,30,0,75.5,Grassland,1997,1,35.25,-85.75,35.25 -85.75,35.08,-85.5,35.08 -85.5,2877,768,Temperate,Managed,Grassland,Deciduous,12.9,1796,IRGA,,Mature,1170,35.25 -85.75,12.63333333,-0.876388889,1814.3,224.8966667,35.08
85,Temperate,211.3,29,0,75.5,Grassland,1997,1,35.25,-85.75,35.25 -85.75,35.08,-85.5,35.08 -85.5,2877,768,Temperate,Managed,Grassland,Deciduous,12.9,1796,IRGA,,Mature,1030,35.25 -85.75,12.63333333,-0.876388889,1814.3,224.8966667,35.08
86,Temperate,211.3,30,0,75.5,Grassland,1997,1,35.25,-85.75,35.25 -85.75,35.08,-85.5,35.08 -85.5,2877,768,Temperate,Managed,Grassland,Deciduous,12.9,1796,IRGA,,Mature,1180,35.25 -85.75,12.63333333,-0.876388889,1814.3,224.8966667,35.08
87,Temperate,654,29,0,43,Forest,2000.5,1,31.25,35.25,31.25 35.25,31.35,35.05,31.35 35.05,2293,654,Mediterranean,Managed,Evergreen Forest,Evergreen,22,270,IRGA,,Mature,192,31.25 35.25,20.81666667,-0.338611111,232.6,38.11666667,31.35
88,Boreal,591,29,0,214,Forest,1998.5,2,53.75,-105.25,53.75 -105.25,53.99,-105.12,53.99 -105.12,2396,591,Boreal,Natural,Evergreen Forest,Evergreen,2.3375,401.45,IRGA,Exclusion,Mature,564,53.75 -105.25,2.3375,1.340277778,401.45,-44.48666666,53.99
89,Boreal,591,148,0,214,Forest,1998.5,2,53.75,-105.25,53.75 -105.25,53.99,-105.12,53.99 -105.12,2396,591,Boreal,Natural,Evergreen Forest,Evergreen,2.3375,401.45,IRGA,Exclusion,Mature,319,53.75 -105.25,2.3375,1.340277778,401.45,-44.48666666,53.99
90,Boreal,40,18,0,232,Forest,1999,1,60.25,17.25,60.25 17.25,60.08,17.5,60.08 17.5,1925,45,Boreal,Natural,Evergreen Forest,Evergreen,5.5,527,IRGA,Extraction,Mature,98,60.25 17.25,4.55,-0.721666667,733,175.8133333,60.08
91,Boreal,40,24,0,232,Forest,1999,1,60.25,17.25,60.25 17.25,60.08,17.5,60.08 17.5,1925,45,Boreal,Natural,Evergreen Forest,Evergreen,5.5,527,IRGA,Extraction,Mature,149,60.25 17.25,4.55,-0.721666667,733,175.8133333,60.08
92,Temperate,1053.2,18,0,102,Forest,1999,1,44.25,-121.75,44.25 -121.75,44.5,-121.52,44.5 -121.52,2037,1053.2,Temperate,Unmanaged,Evergreen Forest,Evergreen,7.5,552,IRGA,Extraction,Aggrading,519,44.75 -121.75,4.766666667,-0.557222222,1918.4,421.4766667,44.5
93,Temperate,1093.5,29,0,113,Forest,1999,1,44.25,-121.75,44.25 -121.75,44.42,-121.51,44.42 -121.51,2037,1093.5,Temperate,Natural,Evergreen Forest,Evergreen,8.1,524,IRGA,Extraction,Mature,499,44.25 -121.75,3.575,-0.469722222,1800.5,324,44.42
94,Temperate,1053.2,97,0,102,Forest,2000,1,44.25,-121.75,44.25 -121.75,44.5,-121.52,44.5 -121.52,2037,1053.2,Temperate,Unmanaged,Evergreen Forest,Evergreen,7.5,552,IRGA,Extraction,Aggrading,427,44.75 -121.75,5.475,0.151111111,1461.3,-35.62333333,44.5
95,Temperate,1093.5,58,0,113,Forest,2000,1,44.25,-121.75,44.25 -121.75,44.42,-121.51,44.42 -121.51,2037,1093.5,Temperate,Natural,Evergreen Forest,Evergreen,8.1,524,IRGA,Extraction,Mature,597,44.25 -121.75,4.125,0.080277778,1515.2,38.7,44.42
96,Temperate,1053.2,35,0,102,Forest,2001,1,44.25,-121.75,44.25 -121.75,44.5,-121.52,44.5 -121.52,2037,1053.2,Temperate,Unmanaged,Evergreen Forest,Evergreen,7.5,552,IRGA,Extraction,Aggrading,505,44.75 -121.75,4.741666667,-0.582222222,801.7,-695.2233334,44.5
97,Temperate,1093.5,61,0,113,Forest,2001,1,44.25,-121.75,44.25 -121.75,44.42,-121.51,44.42 -121.51,2037,1093.5,Temperate,Natural,Evergreen Forest,Evergreen,8.1,524,IRGA,Extraction,Mature,483,44.25 -121.75,3.341666667,-0.703055556,828.2,-648.3,44.42
98,Temperate,1093.5,13,0,113,Forest,1996.5,1,44.25,-121.75,44.25 -121.75,44.42,-121.51,44.42 -121.51,1470,1093.5,Temperate,Natural,Evergreen Forest,Evergreen,8.1,600,IRGA,Subtraction,Mature,683,44.25 -121.75,3.716666667,-0.328055556,2540.7,1064.2,44.42
103,Temperate,175.3,83,0,140,Forest,1996,1,42.75,-72.25,42.75 -72.25,42.9,-72.3,42.9 -72.3,1600,175.3,Temperate,Natural,Deciduous Forest,Deciduous,6,1172,IRGA,Isotope,Mature,840,42.75 -72.25,6.475,-0.734444444,1329,165.9633334,42.9
108,Temperate,159.8,37,0,106,Grassland,1994,1,37.25,-122.25,37.25 -122.25,37.4,-122.23,37.4 -122.23,1185,159.8,Temperate,Natural,Grassland,Evergreen,14,511,Gas Chromatography,Isotope,Mature,323,37.25 -122.25,13.10833333,-0.221388889,518.4,-268.2533333,37.4
113,Temperate,30,28,0,153,Forest,1992,1,54.25,10.25,54.25 10.25,54.1,10.23,54.1 10.23,1823,30,Temperate,Natural,Deciduous Forest,Deciduous,8.1,575,IRGA,Extraction,Mature,1754,54.25 10.25,9.783333333,0.628888889,598.5,-80.14333333,54.1
114,Tropical,10,31,0,47,Forest,1993,1,6.25,2.25,6.25 2.25,6.38,2.13,6.38 2.13,1078,10,Tropical,Managed,Evergreen Forest,Evergreen,27,950,IRGA,Extraction,Mature,1610,6.75 2.25,27.34166667,-0.315277778,1024.3,-116.3133333,6.38
115,Temperate,44.2,31,0,66,Forest,1995.5,1,34.75,-79.25,34.75 -79.25,34.63,-79.2,34.63 -79.2,1639,44.2,Temperate,Managed,Evergreen Forest,Evergreen,17,1210,IRGA,Extraction,Aggrading,1263,34.75 -79.25,16.28333333,-0.406388889,1222.7,123.2933333,34.63
120,Boreal,503.6,72,0,196,Wetland,1987,1,54.75,-66.75,54.75 -66.75,54.8,-66.82,54.8 -66.82,4184,503.6,Boreal,Natural,Wetland,Evergreen,0,791,Gas Chromatography,,Mature,79,54.75 -66.75,-5.033333333,-0.684444444,680.9,-40.23666667,54.8
121,Boreal,503.6,19,0,196,Wetland,1987,1,54.75,-66.75,54.75 -66.75,54.8,-66.82,54.8 -66.82,4184,503.6,Boreal,Natural,Wetland,Evergreen,0,791,Gas Chromatography,,Mature,80,54.75 -66.75,-5.033333333,-0.684444444,680.9,-40.23666667,54.8
122,Boreal,503.6,22,0,196,Wetland,1987,1,54.75,-66.75,54.75 -66.75,54.8,-66.82,54.8 -66.82,4184,503.6,Boreal,Natural,Wetland,Evergreen,0,791,Gas Chromatography,,Mature,7,54.75 -66.75,-5.033333333,-0.684444444,680.9,-40.23666667,54.8
130,Boreal,509,15,0,167,Forest,1994,1,53.75,-104.75,53.75 -104.75,53.92,-104.69,53.92 -104.69,1232,509,Boreal,Natural,Evergreen Forest,Evergreen,1.5,405,IRGA,Extraction,Mature,338,53.75 -104.75,-0.225,-1.151388889,473.9,26.35666667,53.92
131,Boreal,596,15,0,115,Forest,1994,1,53.75,-106.25,53.75 -106.25,53.63,-106.2,53.63 -106.2,1232,596,Boreal,Natural,Deciduous Forest,Deciduous,1.5,405,IRGA,Extraction,Mature,905,53.75 -106.25,-0.7,-1.205277778,501.2,55.35333334,53.63
132,Boreal,591,37,0,214,Forest,1994,1,53.75,-105.25,53.75 -105.25,53.99,-105.12,53.99 -105.12,1232,591,Boreal,Natural,Evergreen Forest,Evergreen,1.5,405,IRGA,Extraction,Mature,564,53.75 -105.25,-0.225,-1.222222222,481.5,35.56333333,53.99
133,Temperate,217,89,0,117,Forest,2004,1,45.75,-84.75,45.75 -84.75,45.59,-84.72,45.59 -84.72,3845,217,Temperate,Natural,Deciduous Forest,Deciduous,5.5,817,IRGA,Extraction,Aggrading,675,45.75 -84.75,5.833333333,-0.2475,867.6,125.57,45.59
134,Temperate,217,89,0,117,Forest,2004,1,45.75,-84.75,45.75 -84.75,45.59,-84.72,45.59 -84.72,3845,217,Temperate,Natural,Deciduous Forest,Deciduous,5.5,817,IRGA,Extraction,Aggrading,782,45.75 -84.75,5.833333333,-0.2475,867.6,125.57,45.59
135,Temperate,217,89,0,117,Forest,2004,1,45.75,-84.75,45.75 -84.75,45.59,-84.72,45.59 -84.72,3845,217,Temperate,Natural,Deciduous Forest,Deciduous,5.5,817,IRGA,Extraction,Aggrading,782,45.75 -84.75,5.833333333,-0.2475,867.6,125.57,45.59
136,Temperate,217,89,0,117,Forest,2004,1,45.75,-84.75,45.75 -84.75,45.59,-84.72,45.59 -84.72,3845,217,Temperate,Natural,Deciduous Forest,Deciduous,5.5,817,IRGA,Extraction,Mature,1090,45.75 -84.75,5.833333333,-0.2475,867.6,125.57,45.59
137,Temperate,217,89,0,117,Forest,2004,1,45.75,-84.75,45.75 -84.75,45.59,-84.72,45.59 -84.72,3845,217,Temperate,Natural,Deciduous Forest,Deciduous,5.5,817,IRGA,Extraction,Mature,930,45.75 -84.75,5.833333333,-0.2475,867.6,125.57,45.59
146,Boreal,345.4,38,0,176,Forest,2003.5,1,48.25,-82.25,48.25 -82.25,48.22,-82.16,48.22 -82.16,3413,345.4,Boreal,Natural,Mixed Forest,Mixed,1.5,814,IRGA,,Mature,911,48.25 -82.25,0.733333333,-0.628611111,774.7,38.13333334,48.22
147,Boreal,345.4,38,0,176,Forest,2004.5,1,48.25,-82.25,48.25 -82.25,48.22,-82.16,48.22 -82.16,3413,345.4,Boreal,Natural,Mixed Forest,Mixed,1.5,814,IRGA,,Mature,918,48.25 -82.25,0.508333333,-0.853611111,734.4,-2.166666672,48.22
148,Temperate,878,51,0,142,Forest,2005.5,1,47.75,11.75,47.75 11.75,47.58,11.64,47.58 11.64,4072,910,Temperate,Natural,Evergreen Forest,Evergreen,6.8,1563,IRGA,Exclusion,Mature,525,47.75 11.75,7.758333333,-0.653888889,1391.5,71.37333334,47.58
149,Temperate,151,51,0,70,Forest,2000,1,42.25,11.75,42.25 11.75,42.4,11.92,42.4 11.92,2129,140,Temperate,Managed,Deciduous Forest,Deciduous,14,755,IRGA,Exclusion,Mature,1097,42.25 11.75,16.54166667,0.510833333,840.1,75.64333333,42.4
150,Temperate,35,51,0,94,Forest,1997,2,32.75,130.75,32.75 130.75,32.82,130.73,32.82 130.73,1665,35,Temperate,Managed,Evergreen Forest,Evergreen,16.2,1970,IRGA,Comparison,Mature,618,32.75 130.75,16.69166667,-0.4325,1838.15,-127.42,32.82
172,Temperate,7.6,51,0,65,Forest,1988,3,32.25,-81.25,32.25 -81.25,32.13,-81.42,32.13 -81.42,805,7.6,Temperate,Natural,Deciduous Forest,Deciduous,19,1258,Gas Chromatography,Extraction,Mature,881,32.25 -81.25,19,-0.077222222,1268.933333,38.04,32.13
173,Temperate,7.6,51,0,65,Forest,1988,3,32.25,-81.25,32.25 -81.25,32.13,-81.42,32.13 -81.42,805,7.6,Temperate,Natural,Deciduous Forest,Deciduous,19,1258,Gas Chromatography,Extraction,Mature,902,32.25 -81.25,19,-0.077222222,1268.933333,38.04,32.13
174,Boreal,596,34,0,115,Forest,1994,1,53.75,-106.25,53.75 -106.25,53.63,-106.2,53.63 -106.2,1382,596,Boreal,Natural,Deciduous Forest,Deciduous,0.5,406,IRGA,Subtraction,Mature,905,53.75 -106.25,-0.7,-1.205277778,501.2,55.35333334,53.63
175,Boreal,131.4,34,0,309,Forest,1999,2,64.75,-147.75,64.75 -147.75,64.8,-147.87,64.8 -147.87,2427,120,Boreal,Natural,Evergreen Forest,Evergreen,-3.3,269,IRGA,,Mature,580,64.75 -147.75,-2.866666667,-0.9925,279.7,-20.49333334,64.8
176,Boreal,131.4,34,0,309,Forest,1998,2,64.75,-147.75,64.75 -147.75,64.8,-147.87,64.8 -147.87,2427,120,Boreal,Natural,Evergreen Forest,Evergreen,-3.3,269,IRGA,,Mature,580,64.75 -147.75,-1.583333333,0.290833333,235.25,-64.94333333,64.8
177,Boreal,131.4,34,0,309,Forest,1998,2,64.75,-147.75,64.75 -147.75,64.8,-147.87,64.8 -147.87,2427,120,Boreal,Natural,Evergreen Forest,Evergreen,-3.3,269,IRGA,,Mature,580,64.75 -147.75,-1.583333333,0.290833333,235.25,-64.94333333,64.8
178,Boreal,131.4,51,0,309,Forest,1998,2,64.75,-147.75,64.75 -147.75,64.8,-147.87,64.8 -147.87,2427,120,Boreal,Natural,Evergreen Forest,Evergreen,-3.3,269,IRGA,,Mature,580,64.75 -147.75,-1.583333333,0.290833333,235.25,-64.94333333,64.8
179,Boreal,131.4,51,0,309,Forest,1999,2,64.75,-147.75,64.75 -147.75,64.8,-147.87,64.8 -147.87,2427,120,Boreal,Natural,Evergreen Forest,Evergreen,-3.3,269,IRGA,,Mature,580,64.75 -147.75,-2.866666667,-0.9925,279.7,-20.49333334,64.8
180,Boreal,131.4,51,0,309,Forest,1999,2,64.75,-147.75,64.75 -147.75,64.8,-147.87,64.8 -147.87,2427,120,Boreal,Natural,Evergreen Forest,Evergreen,-3.3,269,IRGA,,Mature,580,64.75 -147.75,-2.866666667,-0.9925,279.7,-20.49333334,64.8
184,Temperate,176,34,0,121,Forest,1992.5,1,54.75,37.75,54.75 37.75,54.83,37.58,54.83 37.58,1343,176,Temperate,Unmanaged,Deciduous Forest,Deciduous,5.4,670,Gas Chromatography,Extraction,Mature,640,54.75 37.75,5.433333333,-0.013333333,542.3,-76.56333334,54.83
185,Temperate,176,34,0,121,Grassland,1992.5,1,54.75,37.75,54.75 37.75,54.83,37.58,54.83 37.58,1343,176,Temperate,Managed,Grassland,Deciduous,5.4,670,Gas Chromatography,Extraction,Mature,475,54.75 37.75,5.433333333,-0.013333333,542.3,-76.56333334,54.83
