Record_number,Biome2,altitude,SOC_content,Outlier,SOC_stock,Ecosystem_type2,Study_midyear,YearsOfData,Lat,Lon,Site,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_state,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Site.match,Mean.Temp.,delta.Mean.Temp.,Mean.Precip.,delta.Mean.Precip.,Latitude2
6278,Temperate,3003.2,63,0,93,Forest,2011.5,1,35.75,-106.75,35.75 -106.75,35.88222222,-106.5355556,35.88222222 -106.5355556,9841,3038,Temperate,Natural,Evergreen Forest,Evergreen,4,372.5,IRGA,,Mature,945.2,35.75 -106.75,9.033333333,-0.983333333,372.5,-30.80333333,35.88222222
6352,Temperate,1037,84,0,158,Forest,2014,1,48.75,14.25,48.75 14.25,48.87,14.275,48.87 14.275,10305,1000,Temperate,Unmanaged,Mixed Forest,Mixed,7.933333333,440.9,Gas Chromatography,,Mature,485.54,48.75 14.25,7.933333333,1.171944444,440.9,-215.22,48.87
6353,Temperate,1037,84,0,158,Forest,2014,1,48.75,14.25,48.75 14.25,48.87,14.275,48.87 14.275,10305,1000,Temperate,Unmanaged,Mixed Forest,Mixed,7.933333333,440.9,Gas Chromatography,,Mature,250.85,48.75 14.25,7.933333333,1.171944444,440.9,-215.22,48.87
6365,Tropical,573,84,0,107,Forest,2010.5,1,29.75,103.25,29.75 103.25,29.7,103.2333333,29.7 103.2333333,7527,600,Subtropical,Managed,Deciduous Forest,Deciduous,16.325,1490,IRGA,Exclusion,Aggrading,427.63,29.75 103.25,16.325,0.406944444,1385.8,-156.2033333,29.7
6433,Boreal,4625,60,0,97,Grassland,2012.5,1,34.75,92.75,34.75 92.75,34.81666667,92.93333333,34.81666667 92.93333333,7878,4635,Boreal,Natural,Grassland,Deciduous,-5.1,294.5,IRGA,,Mature,833,34.75 92.75,-4.258333333,0.109722222,374,60.77666666,34.81666667
6437,Boreal,4625,5,0,97,Grassland,2013.5,1,34.75,92.75,34.75 92.75,34.81666667,92.93333333,34.81666667 92.93333333,7878,4635,Boreal,Natural,Grassland,Deciduous,-5.1,294.5,IRGA,,Mature,851,34.75 92.75,-3.8,0.568055556,289.5,-23.72333333,34.81666667
6451,Tropical,50,5,0,41,Forest,2005.5,1,-1.75,-51.25,-53,1.717638889,-51.46,-53.17763889,7436,50,Tropical,Natural,Deciduous Forest,Deciduous,25.7,2272,IRGA,,Mature,1309.37,-53,27.84166667,0.212777778,2469.4,187.2566666,-1.717638889
6460,Tropical,351,21,0,89,Forest,2009,1,22.25,106.75,22.25 106.75,22.16666667,106.8333333,22.16666667 106.8333333,7573,351,Subtropical,Managed,Evergreen Forest,Evergreen,21,1400,Gas Chromatography,,Aggrading,377,22.25 106.75,22.29166667,0.188055556,1601.9,347.7733333,22.16666667
6461,Tropical,351,21,0,89,Forest,2009,1,22.25,106.75,22.25 106.75,22.16666667,106.8333333,22.16666667 106.8333333,7573,351,Subtropical,Managed,Mixed Forest,Mixed,21,1400,Gas Chromatography,,Aggrading,456,22.25 106.75,22.29166667,0.188055556,1601.9,347.7733333,22.16666667
6462,Tropical,351,21,0,89,Forest,2009,1,22.25,106.75,22.25 106.75,22.16666667,106.8333333,22.16666667 106.8333333,7573,351,Subtropical,Managed,Deciduous Forest,Deciduous,21,1400,Gas Chromatography,,Aggrading,622,22.25 106.75,22.29166667,0.188055556,1601.9,347.7733333,22.16666667
6463,Tropical,185,13,0,71,Forest,2006,1,27.25,110.25,27.25 110.25,27,110,27 110,7583,185,Subtropical,Managed,Evergreen Forest,Evergreen,16.5,1200,IRGA,,Aggrading,439,27.25 109.75,18.1,0.468055556,1052.1,-203.23,27
6485,Tropical,104,15,0,69,Forest,2010,1,28.25,113.25,28.25 113.25,28.10833333,113.0416667,28.10833333 113.0416667,7631,80,Subtropical,Managed,Evergreen Forest,Evergreen,17.2,1450,IRGA,,Mature,1196,28.25 113.25,17.79166667,-0.158055556,1391,-45.21333334,28.10833333
6486,Tropical,104,15,0,69,Forest,2010,1,28.25,113.25,28.25 113.25,28.10833333,113.0416667,28.10833333 113.0416667,7631,80,Subtropical,Managed,Evergreen Forest,Evergreen,17.2,1450,IRGA,,Mature,817,28.25 113.25,17.79166667,-0.158055556,1391,-45.21333334,28.10833333
6487,Tropical,104,5,0,69,Forest,2010,1,28.25,113.25,28.25 113.25,28.10833333,113.0416667,28.10833333 113.0416667,7631,80,Subtropical,Managed,Evergreen Forest,Evergreen,17.2,1450,IRGA,,Mature,723,28.25 113.25,17.79166667,-0.158055556,1391,-45.21333334,28.10833333
6494,Temperate,655,17,0,150,Forest,2004.5,1,42.25,128.25,42.25 128.25,42.4,128.4666667,42.4 128.4666667,7721,738,Temperate,Natural,Mixed Forest,Mixed,3.5,732,IRGA,,Mature,737.94,42.25 128.25,3.008333333,0.75,739.1,6.069999996,42.4
6501,Temperate,1217,25,0,62,Grassland,2011,1.5,35.25,107.75,35.25 107.75,35.23333333,107.6833333,35.23333333 107.6833333,7698,280,Temperate,Unmanaged,Grassland,Deciduous,13.45555556,782.8666667,IRGA,,Mature,632,35.25 107.75,13.45555556,2.469722222,782.8666667,188.3466667,35.23333333
6504,Temperate,1039.8,28,0,73,Forest,2011,1.5,42.75,-3.75,42.75 -3.75,42.588,-3.667,42.588 -3.667,6860,1039.8,Mediterranean,Unmanaged,Deciduous Forest,Deciduous,10.80555556,600.2666667,IRGA,,Mature,846,42.75 -3.75,10.80555556,1.241388889,600.2666666,-47.04,42.588
6505,Temperate,6,35,0,38,Forest,2011.5,1,51.25,3.75,51.25 3.75,51.11222222,3.850555556,51.11222222 3.850555556,7548,6,Temperate,Managed,Deciduous Forest,Deciduous,9.5,726,IRGA,,Aggrading,740,51.25 3.75,11.63333333,0.695555556,852.8,15.78666667,51.11222222
6507,Temperate,1237,94,0,80,Forest,2006.5,3,37.75,112.25,37.75 112.25,37.73333333,112.3666667,37.73333333 112.3666667,7632,1443,Temperate,Unmanaged,Evergreen Forest,Evergreen,10,478,IRGA,,Mature,962.5,37.75 112.25,6.955555556,0.689166667,429.6333334,-22.50666667,37.73333333
