No.,Respiration_data_type,Study_number_in_SRDB,Authors,Title,Source,Volume,Issue,BP,EP,PubYear,Notes,Citations,DE,DLD,DOI,nonEnglish,Rank,SearchDate,SearchTerm,TF,UT,SN,Copy,DLD_count,DE_count,
178,Rs,3263,"Borken, W; Savage, K; Davidson, EA; Trumbore, SE",Effects of experimental drought on soil respiration and radiocarbon efflux from a temperate forest soil,GLOBAL CHANGE BIOLOGY,12,2,177,193,2006,,19,Y,Y,10.1111/j.1365-2486.2005.01058.x,N,1,9/26/2008,Topic=(net ecosystem exchange or net ecosystem production not soil respiration),,WOS:000234974900004,1354-1013,,1349,1317,
179,Rs,3274,"Carlisle, EA; Steenwerth, KL; Smart, DR",Effects of land use on soil respiration: Conversion of oak woodlands to vineyards,JOURNAL OF ENVIRONMENTAL QUALITY,35,4,1396,1404,2006,,3,Y,Y,10.2134/jeq2005.0155,N,1,9/26/2008,Topic=(soil respiration),,WOS:000239189900047,0047-2425,Nellie,1355,1323,
180,Rs,3284,"Cleveland, CC; Townsend, AR",Nutrient additions to a tropical rain forest drive substantial soil carbon dioxide losses to the atmosphere,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,103,27,10316,10321,2006,,13,Y,Y,10.1073/pnas.0600989103,N,1,9/26/2008,Topic=(soil respiration),,WOS:000239069400031,0027-8424,,1358,1326,
181,Rs,3301,"Davidson, EA; Richardson, AD; Savage, KE; Hollinger, DY",A distinct seasonal pattern of the ratio of soil respiration to total ecosystem respiration in a spruce-dominated forest,GLOBAL CHANGE BIOLOGY,12,2,230,239,2006,,16,Y,Y,10.1111/j.1365-2486.2005.01062.x,N,1,9/26/2008,Topic=(soil respiration),,WOS:000234974900008,1354-1013,,1366,1333,
182,Rs,3302,"Davidson, EA; Savage, KE; Trumbore, SE; Borken, W",Vertical partitioning of CO2 production within a temperate forest soil,GLOBAL CHANGE BIOLOGY,12,6,944,956,2006,,6,Y,Y,10.1111/j.1365-2486.2006.01142.x,N,1,9/26/2008,Topic=(soil respiration),,WOS:000237602200002,1354-1013,,1367,1334,
183,Rs,3307,"DeForest, JL; Noormets, A; McNulty, SG; Sun, G; Tenney, G; Chen, JQ",Phenophases alter the soil respiration-temperature relationship in an oak-dominated forest,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,51,2,135,144,2006,,6,Y,Y,10.1007/s00484-006-0046-7,N,1,9/26/2008,Topic=(soil respiration),,WOS:000241749900005,0020-7128,Nellie,1368,1335,
184,Rs,3315,"Domisch, T; Finer, L; Ohashi, M; Risch, AC; Sundstrom, L; Niemela, P; Jurgensen, MF",Contribution of red wood ant mounds to forest floor CO2 efflux in boreal coniferous forests,SOIL BIOLOGY & BIOCHEMISTRY,38,8,2425,2433,2006,,3,Y,Y,10.1016/j.soilbio.2006.03.004,N,1,9/26/2008,Topic=(soil respiration),,WOS:000240183900043,0038-0717,,1371,1338,
185,Rs,3316,"Dong, YS; Qi, YC; Liu, JY; Domroes, M; Liu, LX; Geng, YB; Liu, XR; Yang, XH; Li, MF","Emission characteristics of carbon dioxide in the semiarid Stipa grandis steppe in Inner Mongolia, China",JOURNAL OF ENVIRONMENTAL SCIENCES-CHINA,18,3,488,494,2006,,0,Y,Y,,N,1,9/26/2008,Topic=(soil respiration),,WOS:000237568200013,1001-0742,Nellie,1372,1339,
186,Rs,3317,"Dornbush, ME; Raich, JW","Soil temperature, not aboveground plant productivity, best predicts intra-annual variations of soil respiration in central Iowa grasslands",ECOSYSTEMS,9,6,909,920,2006,,1,Y,Y,10.1007/s10021-005-0093-7,N,1,9/26/2008,Topic=(soil respiration),,WOS:000241453300004,1432-9840,,1373,1340,
187,Rs,3320,"Elberling, B.; Gregorich, E. G.; Hopkins, D. W.; Sparrow, A. D.; Novis, P.; Greenfield, L. G.",Distribution and dynamics of soil organic matter in an Antarctic dry valley,Soil Biology & Biochemistry,38,"10, Sp. Iss. SI",3095,3106,2006,,0,Y,Y,,N,2,9/26/2008,Topic=(soil respiration),,BIOSIS:PREV200600646460,0038-0717,,1375,1342,
188,Rs,3323,"Epron, D; Nouvellon, Y; Deleporte, P; Ifo, S; Kazotti, G; M'Bou, AT; Mouvondy, W; Saint Andre, L; Roupsard, O; Jourdan, C; Hamel, O",Soil carbon balance in a clonal Eucalyptus plantation in Congo: effects of logging on carbon inputs and soil CO2 efflux,GLOBAL CHANGE BIOLOGY,12,6,1021,1031,2006,,6,Y,Y,10.1111/j.1365-2486.2006.01146.x,N,1,9/26/2008,Topic=(soil respiration),,WOS:000237602200008,1354-1013,,1378,1345,
189,"Rs,Ra,Rh",3328,"Fernandez, DP; Neff, JC; Belnap, J; Reynolds, RL",Soil respiration in the cold desert environment of the Colorado Plateau (USA): Abiotic regulators and thresholds,BIOGEOCHEMISTRY,78,3,247,265,2006,,4,Y,Y,10.1007/s10533-005-4278-0,N,2,9/26/2008,Topic=(soil respiration),,WOS:000237569200001,0168-2563,,1382,1349,
