"work.data.Site.match","work.data.Lat","work.data.Biome","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"56.25 31.75",56.25,"Boreal",-2.87333333333333,-0.398333333333333,1.235,0.518333333333334,0.109999999999999,0.0933333333333328,-1.08166666666667,-0.823333333333333,0.351666666666667,-0.931666666666667,-0.74,-0.765,0.651666666666666,0.693333333333333,-0.215,0.00166666666666693,-0.348333333333334,-0.148333333333333,0.043333333333333,-0.156666666666666,0.743333333333333,1.21,0.193333333333333,-0.131666666666667,0.685,-0.59,0.484999999999999,0.526666666666666,1.26,0.401666666666666
"30.25 101.75",30.25,"Boreal",0.517222222222222,0.133888888888889,-0.766111111111111,0.0922222222222223,-0.399444444444445,-0.816111111111111,-0.449444444444445,0.0172222222222221,-0.716111111111111,-0.457777777777778,-0.591111111111111,0.517222222222222,0.150555555555556,-0.549444444444445,0.00055555555555567,0.225555555555556,0.317222222222222,-0.557777777777778,-0.141111111111111,0.608888888888889,0.283888888888889,-0.166111111111111,0.583888888888889,0.517222222222222,-0.257777777777778,-0.316111111111111,0.583888888888889,0.242222222222222,0.625555555555556,0.767222222222222
"32.25 102.75",32.25,"Boreal",0.0919444444444446,0.200277777777778,-0.499722222222222,-0.183055555555555,-0.241388888888889,-0.916388888888889,-0.249722222222222,0.150277777777778,-0.241388888888889,-0.208055555555556,-0.816388888888889,0.608611111111111,0.433611111111111,-0.416388888888889,0.125277777777778,0.158611111111111,0.483611111111111,-0.0747222222222221,0.300277777777778,0.816944444444444,0.491944444444444,0.225277777777778,0.766944444444444,0.616944444444444,0.208611111111111,0.291944444444445,-0.533055555555556,-0.566388888888889,-0.641388888888889,-0.383055555555556
"63.25 29.75",63.25,"Boreal",-3.105,-0.838333333333334,1.26166666666667,-0.121666666666667,-0.421666666666666,-0.213333333333333,-0.788333333333334,-0.305,0.453333333333333,-0.48,0.136666666666666,-0.563333333333333,0.453333333333333,1.76166666666667,0.0699999999999994,-0.496666666666667,-0.155,-0.346666666666667,0.503333333333333,-0.13,0.453333333333333,0.803333333333333,-0.513333333333333,-1.63,0.745,-0.896666666666667,0.92,1.17833333333333,1.51166666666667,0.753333333333333
"62.75 24.25",62.75,"Boreal",-2.84027777777778,-0.523611111111111,1.09305555555556,0.393055555555556,-0.0236111111111112,0.118055555555556,-0.540277777777778,-0.856944444444444,-0.0402777777777779,-0.956944444444444,-0.331944444444444,-0.906944444444445,-0.0152777777777779,1.17638888888889,-0.556944444444444,-0.173611111111111,-0.173611111111111,0.026388888888889,0.626388888888889,0.609722222222222,0.618055555555556,0.918055555555555,-0.265277777777778,-1.61527777777778,0.926388888888889,-0.706944444444444,0.876388888888889,1.26805555555556,1.53472222222222,0.343055555555555
"63.25 29.25",63.25,"Boreal",-2.97361111111111,-0.881944444444445,1.35972222222222,-0.0486111111111112,-0.290277777777778,0.201388888888889,-0.923611111111111,-0.940277777777778,0.401388888888889,-0.723611111111111,-0.698611111111111,-1.19861111111111,-0.0902777777777781,1.44305555555556,-0.656944444444445,-0.431944444444444,0.201388888888889,-0.115277777777778,0.601388888888889,0.026388888888889,0.726388888888889,1.04305555555556,-0.273611111111111,-1.46527777777778,1.01805555555556,-0.798611111111111,1.17638888888889,1.43472222222222,1.84305555555556,1.03472222222222
"60.25 17.25",60.25,"Boreal",-2.03833333333333,-0.0883333333333329,1.43666666666667,1.32,0.461666666666667,0.903333333333333,-0.00499999999999989,0.0116666666666667,-0.446666666666666,-1.56333333333333,0.111666666666667,-0.721666666666667,0.111666666666667,0.828333333333333,-0.43,-0.138333333333333,-0.263333333333334,-0.396666666666667,0.0449999999999999,0.561666666666667,0.245,0.611666666666667,-0.305,-2.16333333333333,0.628333333333334,-0.538333333333333,-0.105,0.961666666666667,0.736666666666666,0.228333333333333
"49.25 -78.75",49.25,"Boreal",0.9825,-0.7675,-1.93416666666667,-0.0758333333333335,0.140833333333334,-1.48416666666667,-1.1925,-0.700833333333333,-0.625833333333333,-0.950833333333333,-1.18416666666667,1.7325,1.14916666666667,-0.209166666666667,1.5825,-0.275833333333333,-0.459166666666667,-0.809166666666666,0.840833333333333,1.59083333333333,0.0575,-0.0508333333333334,-0.0925,1.89083333333333,0.424166666666667,1.6075,-0.550833333333333,-1.1675,-0.150833333333333,0.6825
"57.75 33.25",57.75,"Boreal",-2.79111111111111,0.000555555555555642,1.55888888888889,0.608888888888888,0.400555555555555,0.250555555555556,-1.07444444444444,-0.974444444444444,0.542222222222222,-0.807777777777778,-0.574444444444445,-0.782777777777778,0.733888888888888,0.850555555555555,-0.399444444444445,-0.232777777777779,-0.241111111111111,-0.307777777777778,0.0505555555555555,-0.282777777777778,0.617222222222222,1.08388888888889,0.167222222222222,-0.366111111111111,0.567222222222222,-0.766111111111111,0.283888888888889,0.417222222222222,1.14222222222222,0.325555555555555
"66.25 23.75",65.75,"Boreal",-2.21666666666667,-0.45,1.075,0.725,-0.241666666666667,0.375,-0.283333333333333,-0.541666666666667,-0.291666666666666,-0.466666666666667,0.0333333333333332,-1.2,-0.308333333333333,0.983333333333333,-0.358333333333333,-0.633333333333333,0.1,-0.15,0.966666666666667,0.316666666666667,0.366666666666667,0.308333333333333,0.0666666666666667,-1.75,0.933333333333334,-0.975,0.283333333333333,1.25833333333333,1.525,0.55
